# Group X,2190383,Jose Rosa,2192447,Ricardo Silva
19:17:25,"[[661.55746304   0.         455.9353236 ]
 [  0.         666.09598052 228.47621725]
 [  0.           0.           1.        ]]","[[ 0.06595452 -0.98330246 -0.16960622]
 [ 0.97375472  0.0263196   0.22607303]
 [-0.2178342  -0.1800654   0.95923131]]","[[ 0.08529116]
 [-0.01695428]
 [ 0.70181844]]"
19:17:30,"[[662.14545097   0.         444.59949721]
 [  0.         667.06531098 220.86482992]
 [  0.           0.           1.        ]]","[[ 0.03705296 -0.98673097 -0.15807933]
 [ 0.97157212 -0.00144313  0.23673938]
 [-0.2338262  -0.16235737  0.95862683]]","[[ 0.14506917]
 [-0.00800724]
 [ 0.71202664]]"
